epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,65192.3,0.63811,0.64271,1.01622,0.94477,0.95448,0.97704,0.85135,0.5587,0.42959,0.94501,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,67167.3,0.6378,0.6328,1.01119,0.95336,0.95234,0.97887,0.84893,0.56819,0.42651,0.95173,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,69146,0.62932,0.62602,1.00325,0.95203,0.95773,0.9739,0.85098,0.56837,0.42616,0.96104,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,71111.6,0.63006,0.618,1.00834,0.96106,0.94571,0.97885,0.85495,0.55722,0.40505,0.94331,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,73128.8,0.63387,0.62097,1.00497,0.96446,0.95678,0.97783,0.85916,0.55058,0.40842,0.94131,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,75137,0.62402,0.60407,1.00953,0.95522,0.95999,0.97816,0.85861,0.55901,0.39363,0.94563,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,78091.8,0.61852,0.60626,1.00257,0.96435,0.96021,0.98011,0.85833,0.55706,0.39466,0.94476,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,80125.6,0.60798,0.58734,0.99383,0.95332,0.96487,0.98034,0.86116,0.5458,0.38814,0.93425,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,82063.2,0.61864,0.5986,1.00182,0.96987,0.95302,0.98158,0.86378,0.53863,0.37998,0.93002,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,83990.9,0.61214,0.57103,0.99715,0.97063,0.96182,0.98285,0.86515,0.54067,0.36449,0.93719,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,85927.2,0.61166,0.56763,0.998,0.97689,0.94649,0.98167,0.87143,0.53126,0.37062,0.92302,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,88204.8,0.60972,0.57001,0.99636,0.96391,0.96133,0.98169,0.86613,0.53746,0.37579,0.93512,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,90236.3,0.60535,0.56995,0.99602,0.97382,0.95459,0.98225,0.86089,0.54013,0.37003,0.93169,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,92250.6,0.59608,0.55272,0.98408,0.96041,0.97004,0.97902,0.8609,0.55281,0.35951,0.9416,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,94212.3,0.60465,0.56781,0.99928,0.96037,0.96252,0.97889,0.86071,0.53025,0.38018,0.9313,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,96156.4,0.5979,0.55145,0.98938,0.95895,0.96487,0.98337,0.86542,0.53765,0.3667,0.9321,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,98093.6,0.59089,0.54382,0.98678,0.96739,0.9614,0.98394,0.87025,0.52917,0.35546,0.92542,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,100026,0.59218,0.53482,0.98463,0.95475,0.96392,0.9822,0.86325,0.53382,0.36094,0.92985,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,101975,0.59693,0.53779,0.99124,0.97318,0.95617,0.9801,0.86828,0.53383,0.36041,0.93099,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,103925,0.59117,0.53385,0.98102,0.95479,0.96699,0.98231,0.86731,0.5269,0.35638,0.92324,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,105875,0.59219,0.5269,0.98597,0.97229,0.96612,0.98372,0.86813,0.53051,0.35166,0.93067,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,107820,0.59437,0.52747,0.99223,0.9735,0.96398,0.98375,0.86655,0.53282,0.34092,0.92418,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,110169,0.58663,0.52031,0.98394,0.96958,0.95783,0.98326,0.87129,0.5197,0.35829,0.92436,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,112094,0.58275,0.51929,0.98571,0.98186,0.9647,0.98506,0.86945,0.52917,0.33626,0.92629,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,114038,0.57575,0.52243,0.97835,0.97165,0.96836,0.98369,0.87444,0.51645,0.33205,0.92612,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,116034,0.57989,0.51807,0.98539,0.96602,0.96369,0.98303,0.87514,0.5249,0.34373,0.92459,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
