epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
135,275969,0.48753,0.36009,0.93463,0.97867,0.97992,0.98608,0.89314,0.47302,0.2507,0.88965,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
136,277920,0.4884,0.36065,0.93078,0.98307,0.97469,0.98538,0.89182,0.47606,0.25041,0.89447,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
137,279907,0.4848,0.35157,0.93201,0.98131,0.97465,0.98434,0.89349,0.47912,0.25077,0.89738,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
138,281879,0.48078,0.35276,0.9272,0.98044,0.97521,0.98436,0.89346,0.47625,0.25012,0.89667,0.0096555,0.0032185,0.0096555,0.0032185,0.0096555,0.0032185,0.0096555,0.0032185
139,283832,0.48692,0.35424,0.93667,0.98089,0.97613,0.98535,0.89353,0.47313,0.24712,0.89637,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
140,285782,0.48598,0.34397,0.93114,0.9803,0.97568,0.98518,0.89329,0.47082,0.24848,0.8936,0.0093585,0.0031195,0.0093585,0.0031195,0.0093585,0.0031195,0.0093585,0.0031195
141,287739,0.48061,0.34466,0.93074,0.97603,0.97988,0.98514,0.89318,0.46946,0.24879,0.89167,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
142,289685,0.48753,0.34624,0.93087,0.98514,0.97374,0.98471,0.89164,0.4709,0.24848,0.89354,0.0090615,0.0030205,0.0090615,0.0030205,0.0090615,0.0030205,0.0090615,0.0030205
143,291641,0.48702,0.34386,0.93021,0.98588,0.97479,0.98565,0.8933,0.46949,0.24611,0.89355,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
144,293596,0.48223,0.35257,0.93287,0.98331,0.97639,0.98436,0.88987,0.47065,0.243,0.89234,0.0087645,0.0029215,0.0087645,0.0029215,0.0087645,0.0029215,0.0087645,0.0029215
145,295597,0.47476,0.33805,0.92948,0.98319,0.97911,0.98508,0.89078,0.47041,0.24328,0.8929,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
146,297549,0.47696,0.34127,0.93004,0.97697,0.98522,0.98606,0.89317,0.47188,0.24227,0.89477,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
147,299498,0.48081,0.34735,0.92969,0.97912,0.98291,0.98647,0.8936,0.47219,0.24265,0.89489,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
148,301458,0.47735,0.33904,0.92905,0.97783,0.98439,0.98625,0.89319,0.47199,0.24212,0.89516,0.0081705,0.0027235,0.0081705,0.0027235,0.0081705,0.0027235,0.0081705,0.0027235
149,303411,0.47614,0.34588,0.92721,0.97673,0.98532,0.98565,0.89472,0.47221,0.24274,0.89565,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
150,305392,0.47371,0.33663,0.92937,0.97834,0.97784,0.98614,0.89559,0.46909,0.24606,0.89149,0.0078735,0.0026245,0.0078735,0.0026245,0.0078735,0.0026245,0.0078735,0.0026245
151,307380,0.47684,0.33748,0.92767,0.97824,0.97862,0.98545,0.89449,0.47119,0.24443,0.89408,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
152,309336,0.47184,0.33527,0.92518,0.97856,0.97841,0.98487,0.89277,0.47343,0.24587,0.89592,0.0075765,0.0025255,0.0075765,0.0025255,0.0075765,0.0025255,0.0075765,0.0025255
153,311288,0.46934,0.33375,0.92513,0.97852,0.97797,0.98526,0.89349,0.47252,0.24639,0.89671,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
154,313237,0.46727,0.32832,0.92137,0.97699,0.98048,0.98557,0.89371,0.47216,0.24665,0.89414,0.0072795,0.0024265,0.0072795,0.0024265,0.0072795,0.0024265,0.0072795,0.0024265
155,315193,0.47122,0.33297,0.92545,0.97643,0.98267,0.98607,0.8929,0.47167,0.24502,0.89307,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
156,317143,0.46035,0.31814,0.92311,0.97549,0.98182,0.98611,0.89262,0.47142,0.24741,0.89278,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
157,319091,0.46973,0.33551,0.92943,0.9781,0.97878,0.98552,0.89157,0.47076,0.24683,0.89201,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
158,321055,0.46266,0.32756,0.92423,0.98006,0.97885,0.98451,0.89231,0.47009,0.24605,0.89139,0.0066855,0.0022285,0.0066855,0.0022285,0.0066855,0.0022285,0.0066855,0.0022285
159,323004,0.46377,0.32426,0.92507,0.98077,0.97782,0.98462,0.89372,0.47239,0.24555,0.89355,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
160,324942,0.46689,0.31717,0.92683,0.9816,0.9776,0.9848,0.89373,0.47266,0.24411,0.89451,0.0063885,0.0021295,0.0063885,0.0021295,0.0063885,0.0021295,0.0063885,0.0021295
161,326893,0.46592,0.32389,0.92514,0.98072,0.97902,0.98403,0.8933,0.47236,0.24627,0.8941,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
162,328835,0.46875,0.32813,0.92452,0.98078,0.97829,0.98397,0.89336,0.47193,0.24771,0.89291,0.0060915,0.0020305,0.0060915,0.0020305,0.0060915,0.0020305,0.0060915,0.0020305
163,330788,0.46287,0.32951,0.92487,0.97981,0.97814,0.98467,0.89262,0.46879,0.24542,0.88993,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
164,332735,0.45608,0.31732,0.91675,0.98019,0.97778,0.98567,0.89318,0.46761,0.24584,0.88875,0.0057945,0.0019315,0.0057945,0.0019315,0.0057945,0.0019315,0.0057945,0.0019315
165,334671,0.45953,0.31365,0.92104,0.97985,0.97859,0.98592,0.8933,0.46699,0.24392,0.88875,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
166,336617,0.46133,0.3196,0.91964,0.97956,0.97878,0.98686,0.89453,0.46722,0.2448,0.88887,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
167,338604,0.45242,0.31293,0.91692,0.97896,0.97886,0.9865,0.89461,0.46527,0.2431,0.8878,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
168,340560,0.45948,0.31031,0.92016,0.97913,0.97924,0.98463,0.89392,0.46578,0.24117,0.889,0.0052005,0.0017335,0.0052005,0.0017335,0.0052005,0.0017335,0.0052005,0.0017335
169,342497,0.45494,0.31083,0.92257,0.9782,0.97883,0.9834,0.89395,0.46491,0.24191,0.88914,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
170,344436,0.45281,0.31565,0.918,0.97797,0.97778,0.98157,0.8941,0.46509,0.24125,0.88957,0.0049035,0.0016345,0.0049035,0.0016345,0.0049035,0.0016345,0.0049035,0.0016345
171,346376,0.45369,0.31465,0.92372,0.97856,0.97763,0.98238,0.89441,0.46536,0.24108,0.89094,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
172,348324,0.44884,0.30807,0.92088,0.98175,0.97451,0.98228,0.8938,0.46496,0.24315,0.89075,0.0046065,0.0015355,0.0046065,0.0015355,0.0046065,0.0015355,0.0046065,0.0015355
173,350277,0.45115,0.30183,0.91911,0.98155,0.97427,0.98158,0.89476,0.46472,0.24185,0.89094,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
174,352238,0.44789,0.30188,0.91983,0.9823,0.9744,0.98277,0.89404,0.46401,0.24135,0.89014,0.0043095,0.0014365,0.0043095,0.0014365,0.0043095,0.0014365,0.0043095,0.0014365
175,354191,0.4492,0.31324,0.91882,0.97878,0.97853,0.98248,0.89534,0.46414,0.24203,0.88991,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
176,356132,0.45414,0.30255,0.91982,0.98236,0.97512,0.98252,0.89513,0.46418,0.2423,0.88985,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
177,358079,0.44528,0.29373,0.91331,0.98301,0.97424,0.98264,0.89464,0.46388,0.24225,0.88959,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
178,360040,0.44885,0.30281,0.92176,0.98221,0.97417,0.98358,0.89582,0.46329,0.24193,0.88997,0.0037155,0.0012385,0.0037155,0.0012385,0.0037155,0.0012385,0.0037155,0.0012385
179,361997,0.44508,0.30206,0.92047,0.98227,0.97426,0.98282,0.8952,0.46274,0.24269,0.88967,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
180,363943,0.43965,0.29718,0.9133,0.98121,0.97527,0.98483,0.89561,0.4624,0.24189,0.88904,0.0034185,0.0011395,0.0034185,0.0011395,0.0034185,0.0011395,0.0034185,0.0011395
181,365888,0.43756,0.29075,0.91368,0.98093,0.97531,0.98539,0.89649,0.46162,0.24219,0.88797,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
182,367848,0.43868,0.29747,0.91374,0.98147,0.97528,0.98544,0.89657,0.46138,0.24242,0.88752,0.0031215,0.0010405,0.0031215,0.0010405,0.0031215,0.0010405,0.0031215,0.0010405
183,369789,0.44051,0.29373,0.9127,0.98034,0.97528,0.98484,0.89586,0.46149,0.24185,0.88757,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
184,371732,0.44037,0.29623,0.91344,0.98147,0.97527,0.98551,0.89561,0.46081,0.24025,0.88725,0.0028245,0.0009415,0.0028245,0.0009415,0.0028245,0.0009415,0.0028245,0.0009415
185,373710,0.43066,0.2908,0.91259,0.98065,0.9753,0.98546,0.89493,0.46048,0.23986,0.88728,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
186,375670,0.43095,0.2827,0.9106,0.98072,0.97529,0.98593,0.89554,0.46056,0.23911,0.88735,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
187,377617,0.43234,0.29026,0.91406,0.98092,0.97503,0.98595,0.89559,0.45983,0.23829,0.88671,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
188,379564,0.43194,0.28986,0.9131,0.98106,0.97421,0.98598,0.89644,0.45982,0.23807,0.88676,0.0022305,0.0007435,0.0022305,0.0007435,0.0022305,0.0007435,0.0022305,0.0007435
189,381513,0.43598,0.28773,0.91335,0.982,0.97382,0.98615,0.89625,0.45957,0.23816,0.88691,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
190,383449,0.43847,0.29725,0.91763,0.9842,0.97184,0.98601,0.89669,0.45927,0.23807,0.88662,0.0019335,0.0006445,0.0019335,0.0006445,0.0019335,0.0006445,0.0019335,0.0006445
191,385425,0.38658,0.21703,0.86643,0.98441,0.97165,0.98487,0.89635,0.45847,0.23862,0.8861,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
192,387361,0.38048,0.21196,0.85787,0.98482,0.97176,0.98492,0.89616,0.45767,0.24011,0.88529,0.0016365,0.0005455,0.0016365,0.0005455,0.0016365,0.0005455,0.0016365,0.0005455
193,389286,0.37952,0.2084,0.86056,0.98493,0.97165,0.98465,0.89643,0.45856,0.24078,0.88597,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
194,391219,0.37649,0.20792,0.86078,0.9848,0.97149,0.98461,0.89726,0.45889,0.24142,0.88629,0.0013395,0.0004465,0.0013395,0.0004465,0.0013395,0.0004465,0.0013395,0.0004465
195,393152,0.37537,0.20378,0.85621,0.98353,0.97128,0.98427,0.89746,0.45852,0.24166,0.88614,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
196,395091,0.37414,0.20189,0.8588,0.98366,0.97166,0.98423,0.89677,0.45866,0.24176,0.88646,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
197,397017,0.37174,0.20337,0.86137,0.97169,0.98247,0.9842,0.89705,0.45875,0.24256,0.8866,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
198,398950,0.36962,0.19969,0.85891,0.97175,0.98229,0.98417,0.89635,0.45879,0.24242,0.88678,0.0007455,0.0002485,0.0007455,0.0002485,0.0007455,0.0002485,0.0007455,0.0002485
199,400880,0.36906,0.19902,0.85811,0.97287,0.98036,0.9838,0.89578,0.45858,0.24205,0.88682,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
200,402812,0.36898,0.19617,0.85371,0.97278,0.98224,0.9838,0.89582,0.45846,0.2418,0.88688,0.0004485,0.0001495,0.0004485,0.0001495,0.0004485,0.0001495,0.0004485,0.0001495
